method,mean_rank
naive2,14.003
autoarima,10.169
autoets,10.609
autotheta,10.394
chronos-bolt-base,10.776
chronos-t5-base,11.415
chronos-t5-large,11.178
chronos-t5-small,11.58
timesfm-2.5-200m,10.821
combo/best_single_val,10.704
combo/equal,9.687
combo/inv_error_global,9.448
combo/inv_error_series,9.267
combo/inv_rank_global,9.518
combo/inv_rank_series,9.391
combo/median,9.531
combo/nnls_series,10.161
combo/trim1_equal,9.377
combo/oracle_best,1.972
