k,rep,rule,mase,smape,rmsse,owa
4,8,inv_error_series,1.308,0.1168,1.1154,0.7942
4,9,equal,1.2938,0.1159,1.1048,0.787
4,9,inv_error_series,1.2883,0.1153,1.1006,0.7835
4,10,equal,1.2908,0.1166,1.1014,0.7886
4,10,inv_error_series,1.2866,0.1161,1.0981,0.7857
4,11,equal,1.305,0.1156,1.1117,0.7893
4,11,inv_error_series,1.2888,0.1147,1.0992,0.7812
4,12,equal,1.3136,0.1153,1.1183,0.7908
4,12,inv_error_series,1.2982,0.1145,1.106,0.7834
4,13,equal,1.2852,0.1137,1.0956,0.7768
4,13,inv_error_series,1.2797,0.1136,1.0916,0.7747
4,14,equal,1.313,0.115,1.1203,0.7895
4,14,inv_error_series,1.3019,0.1146,1.1112,0.7849
4,15,equal,1.3236,0.1151,1.1262,0.7928
4,15,inv_error_series,1.2972,0.1139,1.1048,0.7811
4,16,equal,1.3002,0.1157,1.1072,0.7882
4,16,inv_error_series,1.2866,0.1149,1.0964,0.7813
4,17,equal,1.3051,0.1143,1.1108,0.7847
4,17,inv_error_series,1.29,0.1135,1.0991,0.7774
4,18,equal,1.3094,0.1163,1.1149,0.7931
4,18,inv_error_series,1.2967,0.1153,1.105,0.7858
4,19,equal,1.3539,0.1193,1.1524,0.8167
4,19,inv_error_series,1.3335,0.118,1.1368,0.806
5,0,equal,1.2825,0.1149,1.0958,0.7802
5,0,inv_error_series,1.2817,0.1147,1.0954,0.7794
5,1,equal,1.3092,0.117,1.1148,0.7954
5,1,inv_error_series,1.2945,0.1159,1.1033,0.7872
5,2,equal,1.3104,0.1143,1.1159,0.7863
5,2,inv_error_series,1.2932,0.1136,1.1018,0.7787
5,3,equal,1.289,0.1146,1.0988,0.781
5,3,inv_error_series,1.2797,0.1138,1.0915,0.7755
5,4,equal,1.307,0.1151,1.1141,0.7881
5,4,inv_error_series,1.2923,0.1143,1.1022,0.7808
5,5,equal,1.2991,0.115,1.1077,0.7854
5,5,inv_error_series,1.2898,0.1143,1.1005,0.7802
5,6,equal,1.3084,0.1165,1.1169,0.7936
5,6,inv_error_series,1.3019,0.116,1.1118,0.7897
5,7,equal,1.3026,0.114,1.1095,0.7831
5,7,inv_error_series,1.2861,0.1133,1.0958,0.7757
5,8,equal,1.2848,0.1145,1.097,0.7795
5,8,inv_error_series,1.2821,0.1144,1.0952,0.7782
5,9,equal,1.2888,0.1137,1.099,0.7777
5,9,inv_error_series,1.2795,0.1135,1.0919,0.7743
5,10,equal,1.2802,0.1135,1.0922,0.7747
5,10,inv_error_series,1.2743,0.1133,1.0879,0.7723
5,11,equal,1.29,0.114,1.1003,0.7792
5,11,inv_error_series,1.2777,0.1133,1.0902,0.773
5,12,equal,1.295,0.1151,1.1045,0.7845
