freq,unique_id,method,kind,mase,smape,rmsse
hourly,H100,naive2,model,0.305559483646795,0.05057378615172295,0.3864542900392381
hourly,H11,naive2,model,0.4666221568731615,0.022151720454397218,0.43373997473512377
hourly,H111,naive2,model,0.758369969563747,0.07069598554023201,0.6837278320267314
hourly,H116,naive2,model,0.8777322621488322,0.05447083415630175,0.7669470318368932
hourly,H117,naive2,model,0.8048364519648408,0.06213259325268783,0.7052902855929927
hourly,H12,naive2,model,0.6244174400306608,0.037555917878452034,0.6064491069084105
hourly,H120,naive2,model,1.0831835166505326,0.05478758454693091,1.0033337767141879
hourly,H121,naive2,model,0.9507472389307197,0.030488224255846075,0.8637893657761276
hourly,H123,naive2,model,0.7208543651383797,0.10087510125284209,0.5831389252007497
hourly,H126,naive2,model,0.5733894110229028,0.1514369145156779,0.5940013633959284
hourly,H13,naive2,model,0.9668569616238505,0.06117642565799098,0.8293068206998795
hourly,H130,naive2,model,0.36900139779641505,0.5651366404128836,0.1869063268220813
hourly,H131,naive2,model,1.02611387381957,0.2829593977515867,0.9393264532816958
hourly,H138,naive2,model,0.4214105224993248,0.16065613448013893,0.4497377838525043
hourly,H143,naive2,model,1.2719103250581427,0.46437860667821,1.107186331043359
hourly,H144,naive2,model,0.8278949009449801,0.38758966576511394,0.6780535428457952
hourly,H146,naive2,model,2.1294853795234387,0.6252494529268379,1.5759184991575683
hourly,H147,naive2,model,2.8432302954367588,0.7296560810721617,1.903923648053883
hourly,H149,naive2,model,1.5886699311087946,0.4027725945792431,1.5337061757563113
hourly,H154,naive2,model,0.4196482990586695,0.2648445186943379,0.29526375675153166
hourly,H156,naive2,model,0.4711116748407464,0.18644264832547017,0.3597373473696131
hourly,H16,naive2,model,0.7990585374326907,0.043087249516244396,0.8753707439620552
hourly,H165,naive2,model,0.4490332240056502,0.2022753017893625,0.3635235190721365
hourly,H169,naive2,model,0.6340752324496006,0.15163657137470937,0.5287041830845514
hourly,H174,naive2,model,1.4781931464174451,0.05913576249309802,1.5529356438720872
hourly,H177,naive2,model,1.3517179023508152,0.0118607404254266,1.320635881186436
hourly,H178,naive2,model,0.9624463519313267,0.006909951376447325,0.9064804459373905
hourly,H184,naive2,model,1.2822374039282627,0.00806967951175379,1.3409461756396959
hourly,H186,naive2,model,1.327409638554217,0.011850272780354665,1.2203477539753678
hourly,H192,naive2,model,1.4905575539568352,0.010270664194968205,1.3755361434242233
hourly,H195,naive2,model,1.0552941176470587,0.009532546526254264,1.0233203639415964
hourly,H196,naive2,model,2.2701998262380574,0.014895961816099921,2.029875148966835
hourly,H198,naive2,model,1.5605427974947836,0.011851625288474549,1.5411785736180428
hourly,H20,naive2,model,0.7190805048744588,0.042088152494648666,0.6861258716749868
hourly,H202,naive2,model,1.4328260869565212,0.048548994027022986,1.5018108658505542
hourly,H203,naive2,model,1.1470588235294152,0.009388135623597332,1.0639752137851886
hourly,H204,naive2,model,1.9948109710896949,0.013076076416163174,2.016132121760466
hourly,H206,naive2,model,1.317073170731707,0.011172252595340723,1.3204068870748684
hourly,H208,naive2,model,1.8108211818879483,0.012500096710415616,1.6940517467759686
hourly,H209,naive2,model,0.3002717391304324,0.0017622846430655214,0.37751734598243897
hourly,H213,naive2,model,0.3482142857142859,0.0019040920083914562,0.4730923332824335
hourly,H216,naive2,model,1.8431001890359187,0.015162108779263229,1.7697894309513507
hourly,H218,naive2,model,1.6994740796393677,0.01163817685498888,1.6445180893806566
hourly,H220,naive2,model,1.5550458715596338,0.010789652867553618,1.5277166388617263
