rule,unique_id,model,weight,freq
equal,H144,autoets,0.14285714285714285,hourly
equal,H144,autoarima,0.14285714285714285,hourly
equal,H144,chronos-t5-small,0.14285714285714285,hourly
equal,H144,chronos-t5-base,0.14285714285714285,hourly
equal,H144,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H146,naive2,0.14285714285714285,hourly
equal,H146,autotheta,0.14285714285714285,hourly
equal,H146,autoets,0.14285714285714285,hourly
equal,H146,autoarima,0.14285714285714285,hourly
equal,H146,chronos-t5-small,0.14285714285714285,hourly
equal,H146,chronos-t5-base,0.14285714285714285,hourly
equal,H146,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H147,naive2,0.14285714285714285,hourly
equal,H147,autotheta,0.14285714285714285,hourly
equal,H147,autoets,0.14285714285714285,hourly
equal,H147,autoarima,0.14285714285714285,hourly
equal,H147,chronos-t5-small,0.14285714285714285,hourly
equal,H147,chronos-t5-base,0.14285714285714285,hourly
equal,H147,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H149,naive2,0.14285714285714285,hourly
equal,H149,autotheta,0.14285714285714285,hourly
equal,H149,autoets,0.14285714285714285,hourly
equal,H149,autoarima,0.14285714285714285,hourly
equal,H149,chronos-t5-small,0.14285714285714285,hourly
equal,H149,chronos-t5-base,0.14285714285714285,hourly
equal,H149,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H154,naive2,0.14285714285714285,hourly
equal,H154,autotheta,0.14285714285714285,hourly
equal,H154,autoets,0.14285714285714285,hourly
equal,H154,autoarima,0.14285714285714285,hourly
equal,H154,chronos-t5-small,0.14285714285714285,hourly
equal,H154,chronos-t5-base,0.14285714285714285,hourly
equal,H154,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H156,naive2,0.14285714285714285,hourly
equal,H156,autotheta,0.14285714285714285,hourly
equal,H156,autoets,0.14285714285714285,hourly
equal,H156,autoarima,0.14285714285714285,hourly
equal,H156,chronos-t5-small,0.14285714285714285,hourly
equal,H156,chronos-t5-base,0.14285714285714285,hourly
equal,H156,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H16,naive2,0.14285714285714285,hourly
equal,H16,autotheta,0.14285714285714285,hourly
equal,H16,autoets,0.14285714285714285,hourly
equal,H16,autoarima,0.14285714285714285,hourly
equal,H16,chronos-t5-small,0.14285714285714285,hourly
equal,H16,chronos-t5-base,0.14285714285714285,hourly
equal,H16,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H165,naive2,0.14285714285714285,hourly
equal,H165,autotheta,0.14285714285714285,hourly
equal,H165,autoets,0.14285714285714285,hourly
equal,H165,autoarima,0.14285714285714285,hourly
equal,H165,chronos-t5-small,0.14285714285714285,hourly
equal,H165,chronos-t5-base,0.14285714285714285,hourly
equal,H165,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H169,naive2,0.14285714285714285,hourly
equal,H169,autotheta,0.14285714285714285,hourly
equal,H169,autoets,0.14285714285714285,hourly
equal,H169,autoarima,0.14285714285714285,hourly
equal,H169,chronos-t5-small,0.14285714285714285,hourly
equal,H169,chronos-t5-base,0.14285714285714285,hourly
equal,H169,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H174,naive2,0.14285714285714285,hourly
equal,H174,autotheta,0.14285714285714285,hourly
equal,H174,autoets,0.14285714285714285,hourly
equal,H174,autoarima,0.14285714285714285,hourly
equal,H174,chronos-t5-small,0.14285714285714285,hourly
equal,H174,chronos-t5-base,0.14285714285714285,hourly
equal,H174,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H177,naive2,0.14285714285714285,hourly
equal,H177,autotheta,0.14285714285714285,hourly
equal,H177,autoets,0.14285714285714285,hourly
equal,H177,autoarima,0.14285714285714285,hourly
equal,H177,chronos-t5-small,0.14285714285714285,hourly
equal,H177,chronos-t5-base,0.14285714285714285,hourly
equal,H177,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H178,naive2,0.14285714285714285,hourly
equal,H178,autotheta,0.14285714285714285,hourly
equal,H178,autoets,0.14285714285714285,hourly
equal,H178,autoarima,0.14285714285714285,hourly
equal,H178,chronos-t5-small,0.14285714285714285,hourly
equal,H178,chronos-t5-base,0.14285714285714285,hourly
equal,H178,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H184,naive2,0.14285714285714285,hourly
equal,H184,autotheta,0.14285714285714285,hourly
equal,H184,autoets,0.14285714285714285,hourly
equal,H184,autoarima,0.14285714285714285,hourly
equal,H184,chronos-t5-small,0.14285714285714285,hourly
equal,H184,chronos-t5-base,0.14285714285714285,hourly
equal,H184,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H186,naive2,0.14285714285714285,hourly
equal,H186,autotheta,0.14285714285714285,hourly
equal,H186,autoets,0.14285714285714285,hourly
equal,H186,autoarima,0.14285714285714285,hourly
equal,H186,chronos-t5-small,0.14285714285714285,hourly
equal,H186,chronos-t5-base,0.14285714285714285,hourly
equal,H186,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H192,naive2,0.14285714285714285,hourly
equal,H192,autotheta,0.14285714285714285,hourly
equal,H192,autoets,0.14285714285714285,hourly
equal,H192,autoarima,0.14285714285714285,hourly
equal,H192,chronos-t5-small,0.14285714285714285,hourly
equal,H192,chronos-t5-base,0.14285714285714285,hourly
equal,H192,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H195,naive2,0.14285714285714285,hourly
equal,H195,autotheta,0.14285714285714285,hourly
equal,H195,autoets,0.14285714285714285,hourly
equal,H195,autoarima,0.14285714285714285,hourly
equal,H195,chronos-t5-small,0.14285714285714285,hourly
equal,H195,chronos-t5-base,0.14285714285714285,hourly
equal,H195,timesfm-2.5-200m,0.14285714285714285,hourly
equal,H196,naive2,0.14285714285714285,hourly
equal,H196,autotheta,0.14285714285714285,hourly
equal,H196,autoets,0.14285714285714285,hourly
equal,H196,autoarima,0.14285714285714285,hourly
equal,H196,chronos-t5-small,0.14285714285714285,hourly
